Sentence #,Sentence,POS,Tag
Sentence: 1,Thousands of demonstrators have marched through London to protest the war in Iraq and demand the withdrawal of British troops from that country .,"['NNS', 'IN', 'NNS', 'VBP', 'VBN', 'IN', 'NNP', 'TO', 'VB', 'DT', 'NN', 'IN', 'NNP', 'CC', 'VB', 'DT', 'NN', 'IN', 'JJ', 'NNS', 'IN', 'DT', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O']"
Sentence: 2,"Families of soldiers killed in the conflict joined the protesters who carried banners with such slogans as "" Bush Number One Terrorist "" and "" Stop the Bombings . ""","['NNS', 'IN', 'NNS', 'VBN', 'IN', 'DT', 'NN', 'VBD', 'DT', 'NNS', 'WP', 'VBD', 'NNS', 'IN', 'JJ', 'NNS', 'IN', '``', 'NNP', 'NN', 'CD', 'NN', '``', 'CC', '``', 'VB', 'DT', 'NNS', '.', '``']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 3,They marched from the Houses of Parliament to a rally in Hyde Park .,"['PRP', 'VBD', 'IN', 'DT', 'NNS', 'IN', 'NN', 'TO', 'DT', 'NN', 'IN', 'NNP', 'NNP', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']"
Sentence: 4,"Police put the number of marchers at 10,000 while organizers claimed it was 1,00,000 .","['NNS', 'VBD', 'DT', 'NN', 'IN', 'NNS', 'IN', 'CD', 'IN', 'NNS', 'VBD', 'PRP', 'VBD', 'CD', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 5,The protest comes on the eve of the annual conference of Britain 's ruling Labor Party in the southern English seaside resort of Brighton .,"['DT', 'NN', 'VBZ', 'IN', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NNP', 'POS', 'VBG', 'NNP', 'NNP', 'IN', 'DT', 'JJ', 'JJ', 'NN', 'NN', 'IN', 'NNP', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'B-org', 'I-org', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'B-geo', 'O']"
Sentence: 6,"The party is divided over Britain 's participation in the Iraq conflict and the continued deployment of 8,500 British troops in that country .","['DT', 'NN', 'VBZ', 'VBN', 'IN', 'NNP', 'POS', 'NN', 'IN', 'DT', 'NNP', 'NN', 'CC', 'DT', 'JJ', 'NN', 'IN', 'CD', 'JJ', 'NNS', 'IN', 'DT', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O']"
Sentence: 7,"The London march came ahead of anti-war protests today in other cities , including Rome , Paris , and Madrid .","['DT', 'NNP', 'NN', 'VBD', 'RB', 'IN', 'JJ', 'NNS', 'NN', 'IN', 'JJ', 'NNS', ',', 'VBG', 'NNP', ',', 'NNP', ',', 'CC', 'NNP', '.']","['O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'B-geo', 'O', 'O', 'B-geo', 'O']"
Sentence: 8,The International Atomic Energy Agency is to hold second day of talks in Vienna Wednesday on how to respond to Iran 's resumption of low-level uranium conversion .,"['DT', 'NNP', 'NNP', 'NNP', 'NNP', 'VBZ', 'TO', 'VB', 'JJ', 'NN', 'IN', 'NNS', 'IN', 'NNP', 'NNP', 'IN', 'WRB', 'TO', 'VB', 'TO', 'NNP', 'POS', 'NN', 'IN', 'JJ', 'NN', 'NN', '.']","['O', 'B-org', 'I-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 9,Iran this week restarted parts of the conversion process at its Isfahan nuclear plant .,"['NNP', 'DT', 'NN', 'VBD', 'NNS', 'IN', 'DT', 'NN', 'NN', 'IN', 'PRP$', 'NNP', 'JJ', 'NN', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O']"
Sentence: 10,"Iranian officials say they expect to get access to sealed sensitive parts of the plant Wednesday , after an IAEA surveillance system begins functioning .","['JJ', 'NNS', 'VBP', 'PRP', 'VBP', 'TO', 'VB', 'NN', 'TO', 'JJ', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'NNP', ',', 'IN', 'DT', 'NNP', 'NN', 'NN', 'VBZ', 'VBG', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O']"
Sentence: 11,The step will allow the facility to operate at full capacity .,"['DT', 'NN', 'MD', 'VB', 'DT', 'NN', 'TO', 'VB', 'IN', 'JJ', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 12,"The European Union , with U.S. backing , has threatened to refer Iran to the U.N. Security Council , which could impose sanctions if it finds Tehran has violated the Nuclear Non-Proliferation treaty .","['DT', 'NNP', 'NNP', ',', 'IN', 'NNP', 'NN', ',', 'VBZ', 'VBN', 'TO', 'VB', 'NNP', 'TO', 'DT', 'NNP', 'NNP', 'NNP', ',', 'WDT', 'MD', 'VB', 'NNS', 'IN', 'PRP', 'VBZ', 'NNP', 'VBZ', 'VBN', 'DT', 'NNP', 'NNP', 'NN', '.']","['O', 'B-org', 'I-org', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'B-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'B-art', 'I-art', 'O', 'O']"
Sentence: 13,Iran 's new President Mahmoud Ahmadinejad said Tuesday that European incentives aimed at persuading Iran to end its nuclear fuel program are an insult to the Iranian nation .,"['NNP', 'POS', 'JJ', 'NNP', 'NNP', 'NNP', 'VBD', 'NNP', 'IN', 'JJ', 'NNS', 'VBN', 'IN', 'VBG', 'NNP', 'TO', 'VB', 'PRP$', 'JJ', 'NN', 'NN', 'VBP', 'DT', 'NN', 'TO', 'DT', 'JJ', 'NN', '.']","['B-gpe', 'O', 'O', 'B-per', 'I-per', 'I-per', 'O', 'B-tim', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O']"
Sentence: 14,Two Germans and four Nigerian oil workers were kidnapped by armed militants during a raid on a boat in Nigeria 's southern oil-rich Delta region .,"['CD', 'NNS', 'CC', 'CD', 'JJ', 'NN', 'NNS', 'VBD', 'VBN', 'IN', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'NNP', 'POS', 'JJ', 'JJ', 'NNP', 'NN', '.']","['O', 'B-gpe', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'B-geo', 'O', 'O']"
Sentence: 15,"An official with the German firm Bilfinger Berger , Thomas Horbach , said the gunmen stopped the supply boat Wednesday as it sailed from Delta State to Bayelsa State to inspect an offshore oil field owned by Royal-Dutch Shell .","['DT', 'NN', 'IN', 'DT', 'JJ', 'NN', 'NNP', 'NNP', ',', 'NNP', 'NNP', ',', 'VBD', 'DT', 'NNS', 'VBD', 'DT', 'NN', 'NN', 'NNP', 'IN', 'PRP', 'VBD', 'IN', 'NNP', 'NNP', 'TO', 'NNP', 'NNP', 'TO', 'VB', 'DT', 'JJ', 'NN', 'NN', 'VBN', 'IN', 'NNP', 'NNP', '.']","['O', 'O', 'O', 'O', 'B-gpe', 'O', 'B-org', 'I-org', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O']"
Sentence: 16,The German firm works as a sub-contractor for Shell .,"['DT', 'JJ', 'NN', 'VBZ', 'IN', 'DT', 'NN', 'IN', 'NNP', '.']","['O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O']"
Sentence: 17,Militant groups frequently attack oil operations in the Niger Delta to demand social services and better job opportunities from multinational companies .,"['JJ', 'NNS', 'RB', 'VBP', 'NN', 'NNS', 'IN', 'DT', 'NNP', 'NNP', 'TO', 'VB', 'JJ', 'NNS', 'CC', 'JJR', 'NN', 'NNS', 'IN', 'JJ', 'NNS', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 18,Poor residents often complain they have been cheated out of the huge riches extracted from their tribal lands - where the bulk of Nigeria 's 2.3 million barrels of petroleum are pumped daily .,"['JJ', 'NNS', 'RB', 'VBP', 'PRP', 'VBP', 'VBN', 'VBN', 'IN', 'IN', 'DT', 'JJ', 'NNS', 'VBN', 'IN', 'PRP$', 'JJ', 'NNS', ':', 'WRB', 'DT', 'NN', 'IN', 'NNP', 'POS', 'CD', 'CD', 'NNS', 'IN', 'NN', 'VBP', 'VBN', 'RB', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 19,Suspected Islamist rebels have fired mortar shells at the palace used by Somalia 's interim President Abdullahi Yusuf Ahmad .,"['JJ', 'JJ', 'NNS', 'VBP', 'VBN', 'NN', 'NNS', 'IN', 'DT', 'NN', 'VBN', 'IN', 'NNP', 'POS', 'JJ', 'NNP', 'NNP', 'NNP', 'NNP', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'B-per', 'I-per', 'I-per', 'I-per', 'O']"
Sentence: 20,It was not immediately clear if the president was in the palace in Mogadishu when the attack occurred or if anyone was hurt .,"['PRP', 'VBD', 'RB', 'RB', 'JJ', 'IN', 'DT', 'NN', 'VBD', 'IN', 'DT', 'NN', 'IN', 'NNP', 'WRB', 'DT', 'NN', 'VBD', 'CC', 'IN', 'DT', 'VBD', 'VBN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 21,Local news reports said at least five mortar shells hit the palace compound and other mortars were fired elsewhere in Mogadishu Wednesday .,"['JJ', 'NN', 'NNS', 'VBD', 'IN', 'JJS', 'CD', 'NN', 'NNS', 'VBD', 'DT', 'NN', 'NN', 'CC', 'JJ', 'NNS', 'VBD', 'VBN', 'RB', 'IN', 'NNP', 'NNP', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'B-tim', 'O']"
Sentence: 22,"The attacks occurred after the government said it will go ahead with a reconciliation conference to which more than 1,300 Somali elders , warlords and politicians are invited .","['DT', 'NNS', 'VBD', 'IN', 'DT', 'NN', 'VBD', 'PRP', 'MD', 'VB', 'RB', 'IN', 'DT', 'NN', 'NN', 'TO', 'WDT', 'JJR', 'IN', 'CD', 'JJ', 'NNS', ',', 'NNS', 'CC', 'NNS', 'VBP', 'VBN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 23,Iraqi military officials say tanks and troops have arrived in the northern city Mosul for a new offensive against al Qaida in Iraq fighters .,"['JJ', 'JJ', 'NNS', 'VBP', 'NNS', 'CC', 'NNS', 'VBP', 'VBN', 'IN', 'DT', 'JJ', 'NN', 'NNP', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NNP', 'NNP', 'IN', 'NNP', 'NNS', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'I-org', 'O', 'O']"
Sentence: 24,"Officials will not say how many troops have arrived in the Sunni Arab and Kurdish city , where bombings last week killed at least 34 people and wounded more than 200 .","['NNS', 'MD', 'RB', 'VB', 'WRB', 'JJ', 'NNS', 'VBP', 'VBN', 'IN', 'DT', 'NNP', 'NNP', 'CC', 'NNP', 'NN', ',', 'WRB', 'NNS', 'JJ', 'NN', 'VBD', 'IN', 'JJS', 'CD', 'NNS', 'CC', 'VBD', 'JJR', 'IN', 'CD', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 25,U.S. commanders have not explained how American forces will participate in the offensive .,"['NNP', 'NNS', 'VBP', 'RB', 'VBN', 'WRB', 'JJ', 'NNS', 'MD', 'VB', 'IN', 'DT', 'NN', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 26,Officials say al Qaida in Iraq fighters have fled successful campaigns against them in Anbar province and Baghdad to other northern provinces .,"['NNS', 'VBP', 'NNP', 'NNP', 'IN', 'NNP', 'NNS', 'VBP', 'VBN', 'JJ', 'NNS', 'IN', 'PRP', 'IN', 'NNP', 'NN', 'CC', 'NNP', 'TO', 'JJ', 'JJ', 'NNS', '.']","['O', 'O', 'B-org', 'I-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O']"
Sentence: 27,Mosul is the largest city north of Baghdad and has long been a stronghold of Sunni militant fighters .,"['NNP', 'VBZ', 'DT', 'JJS', 'NN', 'NN', 'IN', 'NNP', 'CC', 'VBZ', 'RB', 'VBN', 'DT', 'NN', 'IN', 'NNP', 'JJ', 'NNS', '.']","['B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O']"
Sentence: 28,"In other violence , U.S. officials said one American soldier was killed while on patrol in Baghdad Sunday .","['IN', 'JJ', 'NN', ',', 'NNP', 'NNS', 'VBD', 'CD', 'JJ', 'NN', 'VBD', 'VBN', 'IN', 'IN', 'NN', 'IN', 'NNP', 'NNP', '.']","['O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'B-tim', 'O']"
Sentence: 29,Egyptian police have arrested at least 16 members of the opposition Muslim Brotherhood as parts of the country prepare for parliamentary runoff elections Saturday .,"['JJ', 'NNS', 'VBP', 'VBN', 'IN', 'JJS', 'CD', 'NNS', 'IN', 'DT', 'NN', 'NNP', 'NNP', 'IN', 'NNS', 'IN', 'DT', 'NN', 'VB', 'IN', 'JJ', 'NN', 'NNS', 'NNP', '.']","['B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O']"
Sentence: 30,The arrests occurred Friday in Alexandria .,"['DT', 'NNS', 'VBD', 'NNP', 'IN', 'NNP', '.']","['O', 'O', 'O', 'B-tim', 'O', 'B-geo', 'O']"
Sentence: 31,A spokesman for the Brotherhood said the arrests are an attempt to cut the Brotherhood off from its supporters and punishment for winning parliamentary seats in earlier elections .,"['DT', 'NN', 'IN', 'DT', 'NNP', 'VBD', 'DT', 'NNS', 'VBP', 'DT', 'NN', 'TO', 'VB', 'DT', 'NNP', 'RB', 'IN', 'PRP$', 'NNS', 'CC', 'NN', 'IN', 'VBG', 'JJ', 'NNS', 'IN', 'JJR', 'NNS', '.']","['O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
Sentence: 32,"The Muslim Brotherhood has tripled its strength in parliament in recent elections , raising the party 's total to 47 seats .","['DT', 'NNP', 'NNP', 'VBZ', 'VBN', 'PRP$', 'NN', 'IN', 'NN', 'IN', 'JJ', 'NNS', ',', 'VBG', 'DT', 'NN', 'POS', 'NN', 'TO', 'CD', 'NNS', '.']","['O', 'B-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
